Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Gerard Gumbau;ESP;MF;Elche;La Liga;28;18;14;0;1
Robert Gumny;POL;DF;Augsburg;Bundesliga;24;16;14;1;0.35
Ýlkay Gündoðan;GER;MF;Manchester City;Premier League;32;18;14;2;2.23
Christian Günter;GER;DFMF;Freiburg;Bundesliga;29;20;20;0;1.07
Koray Günter;GER;DF;Hellas Verona;Serie A;28;13;11;1;0.81
Gorka Guruzeta;ESP;FWMF;Athletic Club;La Liga;26;14;5;5;3.97
Malo Gusto;FRA;DF;Lyon;Ligue 1;19;17;17;0;0.38
Raúl Guti;ESP;MF;Elche;La Liga;26;15;9;0;0.94
Miguel Gutiérrez;ESP;DF;Girona;La Liga;21;20;18;0;0.65
Joško Gvardiol;CRO;DF;RB Leipzig;Bundesliga;21;18;13;0;0.44
Darko Gyabi;ENG;FW;Leeds United;Premier League;18;1;0;0;10
Emmanuel Gyasi;GHA;FWDF;Spezia;Serie A;29;19;19;1;1.29
Norbert Gyömbér;SVK;DF;Salernitana;Serie A;30;14;11;0;0.22
Christian Gytkjær;DEN;FW;Monza;Serie A;32;14;2;1;2.39
Erling Haaland;NOR;FW;Manchester City;Premier League;22;20;19;25;3.85
Nicolas Haas;SUI;MF;Empoli;Serie A;27;15;9;1;0.65
Janik Haberer;GER;MF;Union Berlin;Bundesliga;28;18;18;5;1.58
Alexander Hack;GER;DF;Mainz 05;Bundesliga;29;16;14;0;0.25
Munir El Haddadi;MAR;MFFW;Getafe;La Liga;27;12;0;1;2.57
Jaouen Hadjam;FRA;DF;Nantes;Ligue 1;19;3;2;0;0.48
André Hahn;GER;FWMF;Augsburg;Bundesliga;32;7;4;2;1.63
Amadou Haidara;MLI;MF;RB Leipzig;Bundesliga;25;18;5;1;1.45
Massadio Haïdara;MLI;DFMF;Lens;Ligue 1;30;20;12;0;0.42
Achraf Hakimi;MAR;DFMF;Paris S-G;Ligue 1;24;21;16;4;0.83
Lewis Hall;ENG;DFMF;Chelsea;Premier League;18;5;4;0;1.47
Sébastien Haller;CIV;FW;Dortmund;Bundesliga;28;5;2;1;1.48
Marcel Halstenberg;GER;DF;RB Leipzig;Bundesliga;31;17;10;1;0.46
Mathis Hamdi;FRA;DF;Troyes;Ligue 1;19;1;0;0;0
Romain Hamouma;FRA;FWMF;Ajaccio;Ligue 1;35;12;8;2;1.59
Andreas Hanche-Olsen;NOR;DF;Mainz 05;Bundesliga;26;4;4;0;0.5
Samir Handanovi?;SVN;GK;Inter;Serie A;38;8;8;0;0
Genki Haraguchi;JPN;MF;Stuttgart;Bundesliga;31;2;2;0;1
Genki Haraguchi;JPN;MF;Union Berlin;Bundesliga;31;11;6;0;1.09
Amine Harit;MAR;MFFW;Marseille;Ligue 1;25;10;6;0;1.05
Luke Harris;WAL;MFFW;Fulham;Premier League;17;3;0;0;0
Jack Harrison;ENG;FWMF;Leeds United;Premier League;26;19;17;1;1.22
Abdou Harroui;NED;MF;Sassuolo;Serie A;25;13;2;1;2.73
Makoto Hasebe;JPN;DF;Eint Frankfurt;Bundesliga;39;6;4;0;0
Hans Hateboer;NED;DF;Atalanta;Serie A;29;17;17;1;0.77
Kai Havertz;GER;FWMF;Chelsea;Premier League;23;21;19;5;2.32
Eden Hazard;BEL;FW;Real Madrid;La Liga;32;3;1;0;0.91
Thorgan Hazard;BEL;FWDF;Dortmund;Bundesliga;29;14;2;0;1.54
Rhys Healey;WAL;FW;Toulouse;Ligue 1;28;3;0;1;5.71
Jan Paul van Hecke;NED;DF;Brighton;Premier League;22;2;1;0;2.22
Jonas Hector;GER;DF;Köln;Bundesliga;32;17;17;0;0.73
Hwang Hee-chan;KOR;FW;Wolves;Premier League;27;17;9;0;0.78
Gauthier Hein;FRA;MFFW;Auxerre;Ligue 1;26;19;10;1;1.55
Dominique Heintz;GER;DF;Bochum;Bundesliga;29;4;4;0;0.26
Dean Henderson;ENG;GK;Nott'ham Forest;Premier League;25;18;18;0;0
Jordan Henderson;ENG;MF;Liverpool;Premier League;32;17;10;0;1.18
Liam Henderson;SCO;MF;Empoli;Serie A;26;15;8;0;0.92
Jack Hendry;SCO;DF;Cremonese;Serie A;27;4;2;0;0
Wayne Hennessey;WAL;GK;Nott'ham Forest;Premier League;36;2;2;0;0
Benjamin Henrichs;GER;DFMF;RB Leipzig;Bundesliga;25;18;14;2;1.22
Henrique;BRA;DF;Lyon;Ligue 1;28;3;1;0;0.71
Luiz Henrique;BRA;FW;Betis;La Liga;22;19;14;1;2.33
Matheus Henrique;BRA;MF;Sassuolo;Serie A;25;13;6;1;1.18
Rico Henry;ENG;DF;Brentford;Premier League;25;21;21;0;0.48
Thomas Henry;FRA;FW;Hellas Verona;Serie A;28;16;13;2;1.58
Christophe Hérelle;MTQ;DF;Brest;Ligue 1;30;12;10;0;0.1
Mario Hermoso;ESP;DF;Atlético Madrid;La Liga;27;8;6;2;1.19
Aridane Hernández;EQG;DF;Osasuna;La Liga;33;7;6;0;0
Lucas Hernández;FRA;DF;Bayern Munich;Bundesliga;26;7;6;0;0
Luis Hernández;ESP;DF;Cádiz;La Liga;33;19;19;0;0.26
Mario Hernández;ESP;FW;Rayo Vallecano;La Liga;24;1;0;0;2
Theo Hernández;FRA;DF;Milan;Serie A;25;19;19;2;1.91
Ander Herrera;ESP;MF;Athletic Club;La Liga;33;8;4;0;1.18
Sergio Herrera;ESP;GK;Osasuna;La Liga;29;10;10;0;0
Yangel Herrera;VEN;MFFW;Girona;La Liga;25;16;10;2;2.21
Patrick Herrmann;GER;FWMF;M'Gladbach;Bundesliga;32;15;0;1;3.75
Son Heung-min;KOR;MFFW;Tottenham;Premier League;30;21;20;4;2.66
Aaron Hickey;SCO;DF;Brentford;Premier League;20;10;9;0;0.49
Isak Hien;SWE;DF;Hellas Verona;Serie A;24;18;14;0;0.06
Omar El Hilali;MAR;DFMF;Espanyol;La Liga;19;5;1;0;0
Piero Hincapié;ECU;DF;Leverkusen;Bundesliga;21;18;16;1;0.68
Morten Hjulmand;DEN;MF;Lecce;Serie A;23;20;20;0;0.42
Adam Hlo?ek;CZE;FWMF;Leverkusen;Bundesliga;20;18;11;3;2.35
Joseph Hodge;IRL;MF;Wolves;Premier League;20;5;1;0;0.53
Nicolas Höfler;GER;MF;Freiburg;Bundesliga;32;19;19;0;0.6
Jonas Hofmann;GER;FW;M'Gladbach;Bundesliga;30;16;16;7;1.41
Philipp Hofmann;GER;FW;Bochum;Bundesliga;29;20;17;7;1.73
Rob Holding;ENG;DF;Arsenal;Premier League;27;6;0;0;0
Lucas Höler;GER;FWMF;Freiburg;Bundesliga;28;12;3;2;1.67
Mason Holgate;ENG;DF;Everton;Premier League;26;4;3;0;0.83
Emil Holm;SWE;DF;Spezia;Serie A;22;20;17;1;0.97
Noah Holm;NOR;FWMF;Reims;Ligue 1;21;8;2;0;0.91
Gerrit Holtmann;PHI;FW;Bochum;Bundesliga;27;17;8;1;2.72
Martin Hongla;CMR;MF;Hellas Verona;Serie A;24;9;6;0;0.86
Martin Hongla;CMR;DF;Valladolid;La Liga;24;1;1;0;0
Franck Honorat;FRA;FWMF;Brest;Ligue 1;26;22;20;3;1.56
Jannes Horn;GER;DFFW;Bochum;Bundesliga;26;2;1;0;0
Cédric Hountondji;BEN;DF;Angers;Ligue 1;29;22;22;0;0.32
Ilyes Housni;FRA;FW;Paris S-G;Ligue 1;17;1;0;0;0
Lukáš Hrádeck?;FIN;GK;Leverkusen;Bundesliga;33;19;19;0;0
Petko Hristov;BUL;DF;Spezia;Serie A;23;9;4;0;0.24
Ajdin Hrustic;AUS;MF;Hellas Verona;Serie A;26;6;3;0;1.2
Timo Hübers;GER;DF;Köln;Bundesliga;26;15;14;0;0.21
Callum Hudson-Odoi;ENG;FWMF;Leverkusen;Bundesliga;22;12;6;0;0.33
Will Hughes;ENG;MF;Crystal Palace;Premier League;27;16;3;0;0.48
Mats Hummels;GER;DF;Dortmund;Bundesliga;34;16;14;0;0.86
Adrien Hunou;FRA;FWMF;Angers;Ligue 1;29;21;21;3;1.92
Denis Huseinbasic;GER;MFFW;Köln;Bundesliga;21;12;5;3;1.93
Omari Hutchinson;ENG;FW;Chelsea;Premier League;19;1;0;0;0
Elseid Hysaj;ALB;DF;Lazio;Serie A;28;18;8;0;0.11
Pierre Højbjerg;DEN;MF;Tottenham;Premier League;27;22;22;4;1.06
Rasmus Højlund;DEN;FW;Atalanta;Serie A;20;18;10;5;2.83
Iago;BRA;DFMF;Augsburg;Bundesliga;25;13;13;0;0.58
Pablo Ibáñez;ESP;MF;Osasuna;La Liga;24;8;2;0;1.43
Roger Ibanez;BRA;DF;Roma;Serie A;24;21;21;3;0.81
Arijon Ibrahimovi?;GER;MF;Bayern Munich;Bundesliga;17;1;0;0;10
Mounaim El Idrissy;FRA;FW;Ajaccio;Ligue 1;24;21;19;4;2.2
Iglesias;ESP;DF;Getafe;La Liga;24;18;14;1;0.87
Borja Iglesias;ESP;FW;Betis;La Liga;30;20;19;9;2.38
Igor;BRA;DF;Fiorentina;Serie A;25;16;13;0;0.32
Kelechi Iheanacho;NGA;FWMF;Leicester City;Premier League;26;16;3;3;3.67
Jonathan Ikone;FRA;FW;Fiorentina;Serie A;24;19;13;2;2.31
Ivan Ili?;SRB;MF;Hellas Verona;Serie A;21;11;10;0;0.95
Rareþ Ilie;ROU;MFFW;Nice;Ligue 1;19;4;2;0;2.5
Samuel Iling-Junior;ENG;DFMF;Juventus;Serie A;19;6;0;0;0.83
Emirhan Ýlkhan;TUR;MF;Torino;Serie A;18;4;1;0;2
Asier Illarramendi;ESP;MF;Real Sociedad;La Liga;32;12;6;1;1.43
Ciro Immobile;ITA;FW;Lazio;Serie A;32;17;15;7;3.03
Danny Ings;ENG;FW;West Ham;Premier League;30;3;0;0;3.33
Danny Ings;ENG;FW;Aston Villa;Premier League;30;18;8;6;2.72
Marcus Ingvartsen;DEN;FWMF;Mainz 05;Bundesliga;27;14;8;6;2.71
Bonke Innocent;NGA;MF;Lorient;Ligue 1;27;19;10;0;0.2
Alexander Isak;SWE;FW;Newcastle Utd;Premier League;23;6;4;3;2.62
Alexander Isak;SWE;FW;Real Sociedad;La Liga;23;2;2;1;1.76
Isco;ESP;MFFW;Sevilla;La Liga;30;12;10;0;0.45
Ismaily;BRA;DF;Lille;Ligue 1;33;18;17;2;0.75
Ardian Ismajli;ALB;DF;Empoli;Serie A;26;15;14;0;0.49
Ko Itakura;JPN;DF;M'Gladbach;Bundesliga;26;10;9;0;0.7
Hiroki Ito;JPN;DF;Stuttgart;Bundesliga;23;18;17;0;0.71
Junya Ito;JPN;FW;Reims;Ligue 1;29;19;18;4;1.49
Andreas Ivan;ROU;MF;Schalke 04;Bundesliga;28;1;0;0;2
Alex Iwobi;NGA;MF;Everton;Premier League;26;21;21;1;0.91
Armando Izzo;ITA;DF;Monza;Serie A;30;14;13;0;0.49
Nicolas Jackson;SEN;FW;Villarreal;La Liga;21;14;8;2;1.82
Lee Jae-sung;KOR;MF;Mainz 05;Bundesliga;30;20;14;6;1.45
Paul Jaeckel;GER;DF;Union Berlin;Bundesliga;24;12;9;1;0.2
Mato Jajalo;BIH;MF;Udinese;Serie A;34;3;0;0;2.86
Kristijan Jaki?;CRO;DFMF;Eint Frankfurt;Bundesliga;25;17;13;1;0.57
Jan Jakob Olschowsky;GER;GK;M'Gladbach;Bundesliga;21;2;2;0;0
Ismail Jakobs;SEN;DFMF;Monaco;Ligue 1;23;19;4;0;1
Marin Jakoliš;CRO;FW;Angers;Ligue 1;26;1;0;0;6.67
Daniel James;WAL;FW;Leeds United;Premier League;25;4;2;0;1.36
Daniel James;WAL;FW;Fulham;Premier League;25;12;3;1;2.5
Reece James;ENG;DFMF;Chelsea;Premier League;23;10;9;1;1.19
Vitaly Janelt;GER;MFDF;Brentford;Premier League;24;22;15;2;0.51
Saidy Janko;GAM;DF;Bochum;Bundesliga;27;12;7;0;0.14
Pontus Jansson;SWE;DF;Brentford;Premier League;31;7;6;0;0.18
Tony Jantschke;GER;DFMF;M'Gladbach;Bundesliga;32;5;1;0;0
Adnan Januzaj;BEL;FW;Sevilla;La Liga;28;2;1;0;0
Javi;ESP;DF;Girona;La Liga;24;10;4;0;0.98
Luis Javier Suárez;COL;FW;Almería;La Liga;25;6;4;2;2.78
Luis Javier Suárez;COL;FW;Marseille;Ligue 1;25;7;2;3;4.85
Dany Jean;HAI;DF;Strasbourg;Ligue 1;20;1;0;0;0
Julian Jeanvier;GUI;DF;Auxerre;Ligue 1;30;15;15;1;0.58
Fredrik Jensen;FIN;FWMF;Augsburg;Bundesliga;25;15;7;1;1.06
Mathias Jensen;DEN;MF;Brentford;Premier League;27;22;22;3;0.75
Moritz Jenz;GER;DF;Schalke 04;Bundesliga;23;3;3;0;1.33
Gabriel Jesus;BRA;FW;Arsenal;Premier League;25;14;14;5;3.7
Juan Jesus;BRA;DF;Napoli;Serie A;31;7;7;1;0.6
Raúl Jiménez;MEX;FW;Wolves;Premier League;31;7;3;0;3.33
Joaquín;ESP;MFFW;Betis;La Liga;41;8;1;0;1.67
Joelinton;BRA;MFFW;Newcastle Utd;Premier League;26;20;19;2;1.65
?órir Jóhann Helgason;ISL;MF;Lecce;Serie A;22;7;2;0;0.59
Ben Johnson;ENG;DF;West Ham;Premier League;23;10;6;0;0
Brennan Johnson;WAL;FW;Nott'ham Forest;Premier League;21;22;20;5;1.6
Paul Joly;FRA;DF;Auxerre;Ligue 1;22;10;10;0;0.73
Curtis Jones;ENG;MFFW;Liverpool;Premier League;22;6;1;0;1.9
Frenkie de Jong;NED;MF;Barcelona;La Liga;25;18;14;2;0.9
Joan Jordán;ESP;MF;Sevilla;La Liga;28;17;14;0;0.77
Filip Jörgensen;DEN;GK;Villarreal;La Liga;20;1;1;0;0
Jorginho;ITA;MF;Arsenal;Premier League;31;1;0;0;2.5
Jorginho;ITA;MF;Chelsea;Premier League;31;18;15;2;0.21
Josan;ESP;DFMF;Elche;La Liga;33;13;3;1;0.64
Willian José;BRA;FW;Betis;La Liga;31;15;2;0;2.31
Joselu;ESP;FW;Espanyol;La Liga;32;19;19;11;2.42
Diogo Jota;POR;FWMF;Liverpool;Premier League;26;4;2;0;1.36
Stevan Joveti?;MNE;FWMF;Hertha BSC;Bundesliga;33;8;4;1;2.73
Luka Jovi?;SRB;FWMF;Fiorentina;Serie A;25;19;12;3;2.95
Juanmi;ESP;FW;Betis;La Liga;29;10;6;3;1.48
Juanpe;ESP;DF;Girona;La Liga;31;9;8;0;0.26
Jubal;BRA;DF;Auxerre;Ligue 1;29;21;19;1;0.41
Christopher Jullien;FRA;DF;Montpellier;Ligue 1;29;16;16;0;0.57
Anthony Jung;GER;DFFW;Werder Bremen;Bundesliga;31;20;19;2;0.76
Lago Junior;CIV;FWMF;Mallorca;La Liga;32;5;0;0;3.33
Hamed Junior Traorè;CIV;FW;Bournemouth;Premier League;22;2;2;0;0.59
Hamed Junior Traorè;CIV;MFFW;Sassuolo;Serie A;22;11;6;0;1.21
Vinicius Júnior;BRA;FW;Real Madrid;La Liga;22;20;20;7;2.51
Josip Juranovi?;CRO;DF;Union Berlin;Bundesliga;27;2;2;0;0.5
James Justin;ENG;DF;Leicester City;Premier League;24;14;14;0;0.36
Mathias Jørgensen;DEN;DF;Brentford;Premier League;32;13;8;0;0.36
Ozan Kabak;TUR;DF;Hoffenheim;Bundesliga;22;18;18;2;1.16
Issa Kaboré;BFA;DF;Marseille;Ligue 1;21;11;5;1;0.95
Abdoul Kader Bamba;FRA;FWMF;Nantes;Ligue 1;28;4;1;0;1.11
Pavel Kade?ábek;CZE;DFFW;Hoffenheim;Bundesliga;30;16;7;1;0.45
Tino Kadewere;ZIM;MFFW;Mallorca;La Liga;27;5;0;0;5.33
Kaiky;BRA;DF;Almería;La Liga;19;8;6;0;0.19
Florian Kainz;AUT;MFFW;Köln;Bundesliga;30;18;17;5;2.07
Gaël Kakuta;COD;FW;Lens;Ligue 1;31;2;0;0;5
Sasa Kalajdzic;AUT;FW;Wolves;Premier League;25;1;1;0;2
Sasa Kalajdzic;AUT;FW;Stuttgart;Bundesliga;25;3;3;0;1.92
Arnaud Kalimuendo;FRA;FW;Rennes;Ligue 1;21;15;12;4;1.94
Yayah Kallon;SLE;MFFW;Hellas Verona;Serie A;21;16;6;1;1.45
Felix Kalu Nmecha;GER;MF;Wolfsburg;Bundesliga;22;16;8;2;1.98
Gedeon Kalulu;COD;DF;Lorient;Ligue 1;25;19;19;0;0.32
Pierre Kalulu;FRA;DF;Milan;Serie A;22;22;17;1;0.54
Daichi Kamada;JPN;MFFW;Eint Frankfurt;Bundesliga;26;17;14;7;1.43
Waren Kamanzi;NOR;DF;Toulouse;Ligue 1;22;3;1;0;0
Bingourou Kamara;SEN;GK;Montpellier;Ligue 1;26;5;4;0;0
Boubacar Kamara;FRA;MF;Aston Villa;Premier League;23;15;14;0;0.3
Jakub Kami?ski;POL;FWMF;Wolfsburg;Bundesliga;20;18;14;1;1.51
Marcin Kami?ski;POL;DF;Schalke 04;Bundesliga;31;1;1;0;0
Kevin Kampl;SVN;MF;RB Leipzig;Bundesliga;32;16;9;0;0.49
Nordine Kandil;FRA;MFFW;Strasbourg;Ligue 1;21;4;0;0;2
Harry Kane;ENG;FW;Tottenham;Premier League;29;23;23;17;3.55
Wilfried Kanga;CIV;FW;Hertha BSC;Bundesliga;24;17;13;2;1.77
Lee Kangin;KOR;MFFW;Mallorca;La Liga;21;20;18;2;1.42
N'Golo Kanté;FRA;MF;Chelsea;Premier League;31;2;2;0;1.05
Kenan Karaman;TUR;FW;Schalke 04;Bundesliga;28;10;4;0;3.1
Yann Karamoh;FRA;FWMF;Torino;Serie A;24;9;1;1;3.2
Atakan Karazor;GER;MF;Stuttgart;Bundesliga;26;17;10;0;0.19
Jon Karrikaburu;ESP;FW;Real Sociedad;La Liga;20;6;0;0;5
Rick Karsdorp;NED;DF;Roma;Serie A;28;9;7;0;0.16
Denso Kasius;NED;DF;Bologna;Serie A;20;7;4;0;1.05
Thomas Kastanaras;GRE;FWDF;Stuttgart;Bundesliga;20;4;1;0;2.5
Grigoris Kastanos;CYP;MFDF;Salernitana;Serie A;25;12;2;0;2.65
Silas Katompa;COD;FWDF;Stuttgart;Bundesliga;24;17;15;3;1.8
Moise Kean;ITA;FW;Juventus;Serie A;22;19;8;4;3.7
Michael Keane;ENG;DF;Everton;Premier League;30;1;0;0;0
Neeskens Kebano;COD;FW;Fulham;Premier League;30;12;9;0;1.14
Kévin Keben Biakolo;CMR;DF;Toulouse;Ligue 1;19;10;3;0;0.29
Thilo Kehrer;GER;DF;West Ham;Premier League;26;17;17;0;0.42
Check Keita;FRA;DF;Reims;Ligue 1;19;2;1;0;0
Naby Keïta;GUI;MF;Liverpool;Premier League;28;6;2;0;3.7
Yannik Keitel;GER;MF;Freiburg;Bundesliga;22;14;5;0;0
Lloyd Kelly;ENG;DF;Bournemouth;Premier League;24;10;10;0;0.2
Marc-Oliver Kempf;GER;DF;Hertha BSC;Bundesliga;28;19;19;0;0.38
Kenedy;BRA;FWMF;Valladolid;La Liga;27;4;1;0;1.11
Jonjoe Kenny;ENG;DF;Hertha BSC;Bundesliga;25;18;18;0;0.34
Franck Kessié;CIV;MF;Barcelona;La Liga;26;12;2;0;1.71
Saîf-Eddine Khaoui;TUN;MFFW;Clermont Foot;Ligue 1;27;22;16;2;1.71
Wahbi Khazri;TUN;FWMF;Montpellier;Ligue 1;32;14;10;2;1.98
Rani Khedira;GER;MF;Union Berlin;Bundesliga;29;19;19;0;0.81
Anthony Khelifa;FRA;DF;Ajaccio;Ligue 1;17;1;0;0;0
Kike;ESP;FW;Osasuna;La Liga;33;20;3;2;3.77
Luca Kilian;GER;DF;Köln;Bundesliga;23;13;13;1;0.33
Max Kilman;ENG;DF;Wolves;Premier League;25;22;22;0;0.36
Joshua Kimmich;GER;MF;Bayern Munich;Bundesliga;28;19;18;3;1.18
Presnel Kimpembe;FRA;DF;Paris S-G;Ligue 1;27;9;7;0;0.43
Jakub Kiwior;POL;DF;Spezia;Serie A;22;17;17;0;0.63
Simon Kjær;DEN;DF;Milan;Serie A;33;11;8;0;0
Mateusz Klich;POL;MFFW;Leeds United;Premier League;32;14;0;0;1.29
Lukas Klostermann;GER;DF;RB Leipzig;Bundesliga;26;5;3;0;1.25
Justin Kluivert;NED;FWMF;Valencia;La Liga;23;15;6;3;2.31
Ansgar Knauff;GER;DF;Eint Frankfurt;Bundesliga;21;14;10;1;1.16
Robin Knoche;GER;DF;Union Berlin;Bundesliga;30;19;19;2;0.26
Gregor Kobel;SUI;GK;Dortmund;Bundesliga;25;16;16;0;0
Robin Koch;GER;DF;Leeds United;Premier League;26;20;20;0;0.31
Dominik Kohr;GER;MF;Mainz 05;Bundesliga;29;17;17;2;1.4
Koke;ESP;MF;Atlético Madrid;La Liga;31;16;13;0;0.48
Sead Kolašinac;BIH;DF;Marseille;Ligue 1;29;19;13;3;0.84
Luca Koleosho;CAN;FWDF;Espanyol;La Liga;18;2;0;0;0
Randal Kolo Muani;FRA;FW;Eint Frankfurt;Bundesliga;24;18;17;9;2.31
Timothée Kolodziejczak;FRA;DF;Schalke 04;Bundesliga;31;1;0;0;0
Ibrahima Konaté;FRA;DF;Liverpool;Premier League;23;5;4;0;0.71
Geoffrey Kondogbia;CTA;MF;Atlético Madrid;La Liga;29;16;10;0;1.03
Ibrahima Koné;MLI;FW;Lorient;Ligue 1;23;21;5;3;1.25
Kouadio Koné;FRA;MF;M'Gladbach;Bundesliga;21;18;18;1;0.98
Youssouf Koné;MLI;DF;Ajaccio;Ligue 1;27;7;7;0;0.17
Ezri Konsa;ENG;DF;Aston Villa;Premier League;25;21;20;0;0.2
Teun Koopmeiners;NED;MF;Atalanta;Serie A;24;21;20;6;1.81
Odilon Kossonou;CIV;DF;Leverkusen;Bundesliga;22;14;7;0;0.14
Filip Kosti?;SRB;DFFW;Juventus;Serie A;30;21;19;2;1.33
Filip Kosti?;SRB;DFMF;Eint Frankfurt;Bundesliga;30;1;1;0;1.25
Christian Kouamé;CIV;FW;Fiorentina;Serie A;25;19;16;2;2.2
Rominigue Kouamé;MLI;MF;Troyes;Ligue 1;26;20;20;0;0.9
Tomáš Koubek;CZE;GK;Augsburg;Bundesliga;30;4;4;0;0
Kalidou Koulibaly;SEN;DF;Chelsea;Premier League;31;14;12;2;0.73
Jules Koundé;FRA;DF;Barcelona;La Liga;24;13;12;0;0.52
Boubakar Kouyaté;MLI;DF;Montpellier;Ligue 1;25;2;2;0;0
Cheikhou Kouyaté;SEN;MFDF;Nott'ham Forest;Premier League;33;12;9;1;0.64
Mateo Kova?i?;CRO;MF;Chelsea;Premier League;28;15;7;0;1.29
Viktor Kovalenko;UKR;MF;Spezia;Serie A;26;10;5;0;1.16
Soichiro Kozuki;JPN;FWMF;Schalke 04;Bundesliga;22;5;5;1;3.33
Emil Krafth;SWE;DF;Newcastle Utd;Premier League;28;1;0;0;0
Alex Král;CZE;MF;Schalke 04;Bundesliga;24;15;12;0;1.23
Andrej Kramari?;CRO;MFFW;Hoffenheim;Bundesliga;31;19;14;5;2.17
Christoph Kramer;GER;MF;M'Gladbach;Bundesliga;31;18;18;0;0.31
Tom Krauß;GER;MF;Schalke 04;Bundesliga;21;20;20;1;0.93
Julian Kristoffersen;NOR;FW;Salernitana;Serie A;25;1;0;0;0
Raimonds Krollis;LVA;FW;Spezia;Serie A;21;1;0;0;5
Toni Kroos;GER;MF;Real Madrid;La Liga;33;17;14;2;1.26
Rade Kruni?;BIH;MFFW;Milan;Serie A;29;11;8;0;0.75
Max Kruse;GER;MFFW;Wolfsburg;Bundesliga;34;5;2;0;3
Lukas Kübler;GER;DF;Freiburg;Bundesliga;30;9;9;2;0.58
Takefusa Kubo;JPN;FWMF;Real Sociedad;La Liga;21;17;15;3;2.52
Dejan Kulusevski;SWE;MFFW;Tottenham;Premier League;22;15;13;2;1.67
Sael Kumbedi;FRA;DF;Lyon;Ligue 1;17;7;4;0;0.43
Marash Kumbulla;ALB;DF;Roma;Serie A;23;4;2;0;0.67
Pierre Kunde;CMR;MF;Bochum;Bundesliga;27;4;2;1;1.36
Alou Kuol;AUS;FW;Stuttgart;Bundesliga;22;1;0;0;0
Layvin Kurzawa;FRA;DF;Fulham;Premier League;30;3;2;0;0
Khvicha Kvaratskhelia;GEO;FW;Napoli;Serie A;22;17;16;8;3.43
Grejohn Kyei;FRA;FW;Clermont Foot;Ligue 1;27;22;12;3;2.17
Daniel Kyereh;GHA;MFFW;Freiburg;Bundesliga;26;12;7;2;1.77
Giorgos Kyriakopoulos;GRE;FW;Bologna;Serie A;27;1;0;0;0
Giorgos Kyriakopoulos;GRE;FWDF;Sassuolo;Serie A;27;12;9;1;1.53
César de la Hoz;ESP;MF;Almería;La Liga;30;11;9;1;0.42
Luca de la Torre;USA;MF;Celta Vigo;La Liga;24;11;3;0;0.77
Rémy Labeau Lascary;GLP;FWMF;Lens;Ligue 1;19;5;0;0;3.33
Gaëtan Laborde;FRA;FW;Nice;Ligue 1;28;18;16;6;2.26
Gaëtan Laborde;FRA;FW;Rennes;Ligue 1;28;4;3;2;3.93
Alexandre Lacazette;FRA;FW;Lyon;Ligue 1;31;22;22;13;2.85
Qazim Laçi;ALB;MF;Ajaccio;Ligue 1;27;9;2;0;1.67
Maxence Lacroix;FRA;DF;Wolfsburg;Bundesliga;22;15;11;1;0.27
Alban Lafont;FRA;GK;Nantes;Ligue 1;24;21;21;0;0
Aïssa Laïdouni;TUN;MF;Union Berlin;Bundesliga;26;2;1;0;0.83
Konrad Laimer;AUT;MF;RB Leipzig;Bundesliga;25;9;8;0;1.07
Stefan Lainer;AUT;DF;M'Gladbach;Bundesliga;30;7;2;0;1.05
Kenny Lala;FRA;DF;Brest;Ligue 1;31;5;4;0;0.49
Adam Lallana;ENG;MFFW;Brighton;Premier League;34;16;12;2;1
Vassilis Lambropoulos;GRE;DF;Bochum;Bundesliga;32;10;6;0;0.95
Érik Lamela;ARG;FWMF;Sevilla;La Liga;30;18;12;3;2.15
Mohamed Lamine Bayo;GUI;FWMF;Lille;Ligue 1;24;15;5;3;3.46
Sam Lammers;NED;FW;Sampdoria;Serie A;25;6;6;0;1.89
Sam Lammers;NED;FW;Empoli;Serie A;25;14;10;1;2.86
Tariq Lamptey;GHA;DF;Brighton;Premier League;22;18;2;0;0.67
Manuel Lanzini;ARG;MFFW;West Ham;Premier League;29;5;1;0;1.43
Aymeric Laporte;ESP;DF;Manchester City;Premier League;28;5;4;0;1.67
Julien Laporte;FRA;DF;Lorient;Ligue 1;29;18;18;0;0.35
Cyle Larin;CAN;FW;Valladolid;La Liga;27;2;0;2;6
Juan Larios;ESP;DF;Southampton;Premier League;19;5;2;0;0
Yasser Larouci;ALG;DFFW;Troyes;Ligue 1;22;19;13;1;0.55
Jordan Larsson;SWE;FWMF;Schalke 04;Bundesliga;25;11;5;0;1.96
Kevin Lasagna;ITA;FWMF;Hellas Verona;Serie A;30;17;12;1;3.15
Jamaal Lascelles;ENG;DF;Newcastle Utd;Premier League;29;4;1;0;0.83
Latasa;ESP;FWDF;Getafe;La Liga;21;10;0;0;6.67
Toni Lato;ESP;MFDF;Valencia;La Liga;25;14;5;1;1.15
Danny Latza;GER;MF;Schalke 04;Bundesliga;33;12;4;0;1.63
Armand Lauriente;FRA;FW;Sassuolo;Serie A;24;15;15;4;2.65
Armand Lauriente;FRA;FW;Lorient;Ligue 1;24;3;3;1;4.67
Roméo Lavia;BEL;MF;Southampton;Premier League;19;13;11;1;0.51
Lázaro;BRA;MFFW;Almería;La Liga;20;9;2;1;1.07
Valentino Lazaro;AUT;DF;Torino;Serie A;26;15;13;0;0.59
