Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Harvey Barnes;ENG;MFFW;Leicester City;Premier League;25;20;20;8;2.5
Leandro Barreiro Martins;LUX;MF;Mainz 05;Bundesliga;23;18;12;0;1.33
Ander Barrenetxea;ESP;FWDF;Real Sociedad;La Liga;21;7;2;1;0.95
Mickaël Barreto;FRA;MF;Ajaccio;Ligue 1;32;7;3;0;1.05
Pablo Barrios;ESP;MF;Atlético Madrid;La Liga;19;5;3;0;1.67
Musa Barrow;GAM;FWMF;Bologna;Serie A;24;15;10;2;3.29
Federico Baschirotto;ITA;DF;Lecce;Serie A;26;22;22;3;0.55
Toma Baši?;CRO;MF;Lazio;Serie A;26;14;4;0;1.46
Gil Bastião Dias;POR;FW;Stuttgart;Bundesliga;26;2;1;0;3.08
Alessandro Bastoni;ITA;DF;Inter;Serie A;23;17;15;0;0.71
Simone Bastoni;ITA;MFDF;Spezia;Serie A;26;13;12;2;1.9
Rodrigo Battaglia;ARG;MF;Mallorca;La Liga;31;13;8;0;0.27
Maximilian Bauer;GER;DF;Augsburg;Bundesliga;23;15;12;0;0.69
Oliver Baumann;GER;GK;Hoffenheim;Bundesliga;32;20;20;0;0
Timo Baumgartl;GER;DF;Union Berlin;Bundesliga;26;4;4;0;1.14
Julian Baumgartlinger;AUT;MF;Augsburg;Bundesliga;35;7;2;0;0.97
Christoph Baumgartner;AUT;MFFW;Hoffenheim;Bundesliga;23;20;20;5;2.53
Cyrille Bayala;BFA;MF;Ajaccio;Ligue 1;26;22;16;1;1.06
Brian Bayeye;FRA;DF;Torino;Serie A;22;1;1;0;0
Noah Joel Sarenren Bazee;NGA;FW;Augsburg;Bundesliga;26;1;0;0;0
Gavin Bazunu;IRL;GK;Southampton;Premier League;20;22;22;0;0
Bebé;CPV;FW;Rayo Vallecano;La Liga;32;4;0;0;5.71
Ihlas Bebou;TOG;FWDF;Hoffenheim;Bundesliga;28;5;4;2;2.35
Rodrigo Becão;BRA;DF;Udinese;Serie A;27;15;15;1;0.61
Mads Bech Sørensen;DEN;DFMF;Brentford;Premier League;24;4;0;0;0
Julius Beck;DEN;MF;Spezia;Serie A;17;1;0;0;0
Sheraldo Becker;SUR;FW;Union Berlin;Bundesliga;28;20;20;7;2.1
Jan Bednarek;POL;DF;Southampton;Premier League;26;4;4;0;1.32
Jan Bednarek;POL;DF;Aston Villa;Premier League;26;3;1;0;0
Donny van de Beek;NED;MF;Manchester Utd;Premier League;25;7;2;0;1.05
Asmir Begovi?;BIH;GK;Everton;Premier League;35;1;1;0;0
Yanis Begraoui;FRA;FWMF;Toulouse;Ligue 1;21;3;1;0;0
Kevin Behrens;GER;FW;Union Berlin;Bundesliga;32;20;7;4;1.43
Alexis Beka Beka;FRA;MF;Nice;Ligue 1;21;8;3;0;0.97
Jérémie Bela;ANG;DFMF;Clermont Foot;Ligue 1;29;14;7;1;1.27
Youcef Belaïli;ALG;MFFW;Ajaccio;Ligue 1;30;12;10;5;2.18
Youcef Belaïli;ALG;FWMF;Brest;Ligue 1;30;6;4;0;2.25
Haris Belkebla;ALG;MF;Brest;Ligue 1;29;22;16;1;0.42
