Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;Assists;Touches
1982;Óscar Plano;ESP;FWMF;Valladolid;La Liga;32;1991;20;13;1278;14.2;1;1.27;0.49;38.9;0.06;0.14;18.3;0.07;40.1
1983;Gonzalo Plata;ECU;FWMF;Valladolid;La Liga;22;2000;16;9;919;10.2;0;1.76;0.88;50;0;0;18.6;0.2;47.9
1984;Marvin Plattenhardt;GER;DF;Hertha BSC;Bundesliga;31;1992;16;15;1221;13.6;0;0.29;0.07;25;0;0;31.2;0.15;61.1
1985;Alassane Pléa;FRA;FW;M'Gladbach;Bundesliga;29;1993;15;12;1041;11.6;2;1.38;0.6;43.8;0.06;0.14;20.6;0.6;49.6
1986;Tommaso Pobega;ITA;MF;Milan;Serie A;23;1999;13;6;574;6.4;1;1.56;0.47;30;0.1;0.33;17.7;0;44.1
1987;Daniel Podence;POR;FWMF;Wolves;Premier League;27;1995;21;16;1312;14.6;5;2.26;0.89;39.4;0.15;0.38;16.7;0;46.3
1988;Joel Pohjanpalo;FIN;FWMF;Leverkusen;Bundesliga;28;1994;1;0;4;0;0;0;0;0;0;0;0;0;1
1989;Matteo Politano;ITA;FW;Napoli;Serie A;29;1993;19;10;827;9.2;3;2.17;0.33;15;0.05;0.33;20.3;0.33;61
1990;Sebastian Polter;GER;FWMF;Schalke 04;Bundesliga;31;1991;14;4;465;5.2;1;1.15;0.77;66.7;0.17;0.25;11.2;0.38;32.5
1991;Ezequiel Ponce;ARG;FW;Elche;La Liga;25;1997;19;5;680;7.6;3;2.11;0.92;43.8;0.19;0.43;12.8;0;34.1
1992;Julien Ponceau;FRA;MF;Lorient;Ligue 1;22;2000;19;14;1137;12.6;0;0.56;0.08;14.3;0;0;22.4;0.32;51.3
1993;Marin Pongra?i?;CRO;DF;Lecce;Serie A;25;1997;9;9;790;8.8;0;0.11;0;0;0;0;16.5;0;49.4
1994;Nick Pope;ENG;GK;Newcastle Utd;Premier League;30;1992;22;22;1980;22;0;0;0;0;0;0;0;0;27.9
1995;?ukasz Por?ba;POL;MF;Lens;Ligue 1;22;2000;7;3;247;2.7;0;1.11;0;0;0;0;17.1;0.37;57.8
1996;Jackson Porozo;ECU;DF;Troyes;Ligue 1;22;2000;15;14;1231;13.7;2;1.24;0.51;41.2;0.12;0.29;12;0;46.4
1997;Pedro Porro;ESP;DF;Tottenham;Premier League;23;1999;1;1;74;0.8;0;0;0;0;0;0;0;0;50
1998;Francisco Portillo;ESP;FWMF;Almería;La Liga;32;1990;15;2;364;4;2;0.75;0.5;66.7;0.67;1;12.7;0;69.5
1999;Portu;ESP;DFMF;Getafe;La Liga;30;1992;17;6;706;7.8;0;1.15;0.38;33.3;0;0;19.3;0.26;48.8
2000;Stefan Posch;AUT;DF;Bologna;Serie A;25;1997;14;14;1228;13.6;4;0.88;0.51;58.3;0.33;0.57;13.5;0.07;71
2001;Stefan Posch;AUT;DF;Hoffenheim;Bundesliga;25;1997;1;1;18;0.2;0;0;0;0;0;0;0;0;60
2002;Yussuf Poulsen;DEN;FWDF;RB Leipzig;Bundesliga;28;1994;11;1;178;2;1;2;1.5;75;0.25;0.33;12.6;0;40.5
2003;José Pozo;ESP;MF;Rayo Vallecano;La Liga;26;1996;6;1;75;0.8;0;1.25;0;0;0;0;20.9;0;72.5
2004;Alejandro Pozo Pozo;ESP;DF;Almería;La Liga;23;1999;17;11;1026;11.4;0;0.35;0.18;50;0;0;21.7;0.09;68.4
2005;Dennis Praet;BEL;MFFW;Leicester City;Premier League;28;1994;12;4;377;4.2;1;0.48;0.24;50;0.5;1;15.4;0;42.4
2006;Abdón Prats;ESP;FWMF;Mallorca;La Liga;30;1992;14;1;176;2;1;3;2;66.7;0.17;0.25;13.9;0;34
2007;Sanjin Prci?;BIH;MF;Strasbourg;Ligue 1;29;1993;20;16;1367;15.2;1;1.51;0.39;26.1;0.04;0.17;26.3;0.07;65.4
2008;Isaac Price;NIR;MF;Everton;Premier League;19;2003;1;0;33;0.4;0;0;0;0;0;0;0;0;42.5
2009;Grischa Prömel;GER;MF;Hoffenheim;Bundesliga;28;1995;13;13;1071;11.9;1;1.85;0.42;22.7;0.05;0.2;15.7;0.08;40.8
2010;Ivan Provedel;ITA;GK;Lazio;Serie A;28;1994;22;21;1973;21.9;0;0;0;0;0;0;0;0;39.4
2011;Javi Puado;ESP;FWMF;Espanyol;La Liga;24;1998;19;12;1152;12.8;3;2.19;0.63;28.6;0.11;0.38;13.4;0.08;30.4
2012;Mehdi Puch Herrantz;FRA;MF;Ajaccio;Ligue 1;19;2004;1;0;9;0.1;0;0;0;0;0;0;0;0;90
2013;Tymoteusz Puchacz;POL;DF;Union Berlin;Bundesliga;24;1999;1;1;58;0.6;0;0;0;0;0;0;0;0;73.3
2014;Arnau Puigmal;ESP;MFDF;Almería;La Liga;22;2001;11;1;277;3.1;0;1.94;0.32;16.7;0;0;21.8;0;52.6
2015;Christian Pulisic;USA;FWDF;Chelsea;Premier League;24;1998;16;6;609;6.8;1;2.21;0.59;26.7;0.07;0.25;16.8;0.15;48.2
2016;Ignacio Pussetto;ARG;MFDF;Sampdoria;Serie A;27;1995;5;1;152;1.7;0;1.18;1.18;100;0;0;14.2;0;47.6
2017;Niklas Pyyhtiä;FIN;MF;Bologna;Serie A;19;2003;3;0;37;0.4;0;5;0;0;0;0;21;0;60
2018;Fabio Quagliarella;ITA;FW;Sampdoria;Serie A;40;1983;15;2;360;4;0;4.5;1.25;27.8;0;0;17.5;0;40
2019;Giacomo Quagliata;ITA;DF;Cremonese;Serie A;22;2000;13;4;493;5.5;0;1.64;0.18;11.1;0;0;19.9;0;56.9
2020;Joshua Quarshie;GER;MF;Hoffenheim;Bundesliga;18;2004;1;0;1;0;0;0;0;0;0;0;0;0;3
2021;Ghjuvanni Quilichini;FRA;GK;Ajaccio;Ligue 1;20;2002;1;0;82;0.9;0;0;0;0;0;0;0;0;41.1
2022;Domingos Quina;POR;MF;Elche;La Liga;23;1999;10;2;275;3.1;0;1.94;0;0;0;0;33;0;61.9
2023;Adrien Rabiot;FRA;MF;Juventus;Serie A;27;1995;17;16;1398;15.5;3;1.42;0.77;54.5;0.14;0.25;18.5;0.13;50.3
2024;Nemanja Radonji?;SRB;MFFW;Torino;Serie A;26;1996;19;10;916;10.2;2;3.43;1.18;34.3;0.06;0.17;17.9;0.1;44.5
2025;Ivan Radovanovi?;SRB;MFDF;Salernitana;Serie A;34;1988;10;7;671;7.5;0;0.93;0;0;0;0;33;0;43.1
2026;Ionu? Radu;ROU;GK;Cremonese;Serie A;25;1997;9;9;810;9;0;0;0;0;0;0;0;0;40.7
2027;Ionu? Radu;ROU;GK;Auxerre;Ligue 1;25;1997;3;3;270;3;0;0;0;0;0;0;0;0;36
2028;Antonio Raillo;ESP;DF;Mallorca;La Liga;31;1991;20;20;1800;20;1;0.3;0.15;50;0.17;0.33;17.1;0;47
2029;Predrag Rajkovi?;SRB;GK;Mallorca;La Liga;27;1995;21;21;1890;21;0;0;0;0;0;0;0;0;36.1
2030;Ivan Rakiti?;CRO;MF;Sevilla;La Liga;34;1988;17;11;945;10.5;1;1.62;0.57;35.3;0;0;25.4;0.19;76.6
2031;Diant Ramaj;GER;GK;Eint Frankfurt;Bundesliga;21;2001;1;1;90;1;0;0;0;0;0;0;0;0;28
2032;Largie Ramazani;BEL;FWMF;Almería;La Liga;21;2001;19;12;1039;11.5;2;2.52;1.22;48.3;0.07;0.14;20.7;0;31.4
2033;Adil Rami;FRA;DF;Troyes;Ligue 1;37;1985;7;5;539;6;0;0.67;0.33;50;0;0;33.4;0;45.7
2034;Chris Ramos;ESP;MF;Cádiz;La Liga;26;1997;1;0;21;0.2;0;0;0;0;0;0;0;0;30
2035;Sergio Ramos;ESP;DF;Paris S-G;Ligue 1;36;1986;20;18;1534;17;0;0.59;0.24;40;0;0;11.7;0.06;94.6
2036;Aaron Ramsdale;ENG;GK;Arsenal;Premier League;24;1998;21;21;1890;21;0;0;0;0;0;0;0;0;31
2037;Aaron Ramsey;WAL;MF;Nice;Ligue 1;32;1990;18;11;1017;11.3;1;1.5;0.53;35.3;0.06;0.17;14.1;0.09;67.8
2038;Jacob Ramsey;ENG;MF;Aston Villa;Premier League;21;2001;18;15;1236;13.7;2;0.88;0.51;58.3;0.17;0.29;19.2;0.15;49.6
2039;Luca Ranieri;ITA;DF;Fiorentina;Serie A;23;1999;2;2;175;1.9;0;0;0;0;0;0;0;0;61.6
2040;Andrea Ranocchia;ITA;DF;Monza;Serie A;34;1988;1;1;47;0.5;0;0;0;0;0;0;0;0;70
2041;Filippo Ranocchia;ITA;MF;Monza;Serie A;21;2001;11;5;477;5.3;1;2.45;0.94;38.5;0.08;0.2;26.9;0;51.3
2042;Lilian Raolisoa;FRA;MFDF;Angers;Ligue 1;22;2000;2;0;47;0.5;0;0;0;0;0;0;0;0;86
2043;Raphinha;BRA;FW;Barcelona;La Liga;26;1996;19;11;959;10.7;4;3.64;1.03;28.2;0.1;0.36;17.7;0.37;74.2
2044;Nicolai Rapp;GER;MFDF;Werder Bremen;Bundesliga;26;1996;7;0;71;0.8;0;1.25;0;0;0;0;12.3;0;85
2045;Elba Rashani;KVX;MFDF;Clermont Foot;Ligue 1;29;1993;20;15;1286;14.3;2;1.4;0.56;40;0.1;0.25;13.2;0.07;42.5
2046;Marcus Rashford;ENG;FW;Manchester Utd;Premier League;25;1997;22;20;1795;19.9;11;3.02;1.31;43.3;0.18;0.42;15.9;0.15;38.2
2047;Giacomo Raspadori;ITA;FWMF;Napoli;Serie A;22;2000;14;7;572;6.4;1;3.91;1.88;48;0.04;0.08;17.1;0;58.9
2048;Giacomo Raspadori;ITA;FW;Sassuolo;Serie A;22;2000;1;0;45;0.5;0;0;0;0;0;0;0;0;30
2049;Rafael Ratão;BRA;FW;Toulouse;Ligue 1;27;1995;17;16;1147;12.7;4;1.34;0.71;52.9;0.24;0.44;12.2;0.16;53.3
2050;David Raum;GER;DFFW;RB Leipzig;Bundesliga;24;1998;19;14;1183;13.1;0;0.69;0.15;22.2;0;0;25.2;0.08;68.8
2051;Rayan Raveloson;MAD;MFDF;Auxerre;Ligue 1;26;1997;18;11;1011;11.2;0;1.25;0.09;7.1;0;0;18.1;0;50
2052;David Raya;ESP;GK;Brentford;Premier League;27;1995;22;22;1980;22;0;0;0;0;0;0;0;0;45
2053;Tim Ream;USA;DF;Fulham;Premier League;35;1987;23;23;2067;23;1;0.13;0.09;66.7;0.33;0.5;9.8;0;65.7
2054;Ante Rebi?;CRO;FW;Milan;Serie A;29;1993;13;5;514;5.7;3;3.16;1.58;50;0.17;0.33;16.4;0.35;40.7
2055;Arkadiusz Reca;POL;DF;Spezia;Serie A;27;1995;18;16;1340;14.9;1;0.74;0.27;36.4;0.09;0.25;23.4;0.07;55.4
2056;Nathan Redmond;ENG;DF;Southampton;Premier League;28;1994;1;0;1;0;0;0;0;0;0;0;0;0;1
2057;Harrison Reed;ENG;MF;Fulham;Premier League;28;1995;22;22;1815;20.2;2;0.79;0.2;25;0.13;0.5;20.5;0.05;48
2058;Sergio Reguilón;ESP;DF;Atlético Madrid;La Liga;26;1996;4;0;87;1;0;0;0;0;0;0;0;0;72
2059;Bobby Reid;JAM;FWDF;Fulham;Premier League;30;1993;22;22;1817;20.2;4;1.24;0.45;36;0.16;0.44;13.3;0.05;46.5
2060;Pepe Reina;ESP;GK;Villarreal;La Liga;40;1982;5;5;450;5;0;0;0;0;0;0;0;0;40
2061;Jeff Reine-Adélaïde;FRA;MF;Troyes;Ligue 1;25;1998;1;0;23;0.3;0;0;0;0;0;0;0;0;116.7
2062;Jeff Reine-Adélaïde;FRA;MF;Lyon;Ligue 1;25;1998;14;1;336;3.7;0;2.7;1.89;70;0;0;20;0;101.9
2063;Reinier;BRA;MFFW;Girona;La Liga;21;2002;7;3;313;3.5;1;1.14;0.57;50;0.25;0.5;8.3;0;45.1
2064;Rocco Reitz;GER;MF;M'Gladbach;Bundesliga;20;2002;1;0;3;0;0;0;0;0;0;0;0;0;2
2065;Karim Rekik;NED;DF;Sevilla;La Liga;28;1994;10;9;664;7.4;1;0.68;0.14;20;0.2;1;10.8;0.14;70
2066;Álex Remiro;ESP;GK;Real Sociedad;La Liga;27;1995;20;20;1800;20;0;0;0;0;0;0;0;0;37.9
2067;Panagiotis Retsos;GRE;DF;Hellas Verona;Serie A;24;1998;2;1;122;1.4;0;0.71;0;0;0;0;16.8;0;54.3
2068;Marco Reus;GER;MF;Dortmund;Bundesliga;33;1989;12;9;779;8.7;2;2.07;0.46;22.2;0.11;0.5;14.5;0.23;41.6
2069;Alejandro Revuelta Montero;ESP;DF;Getafe;La Liga;22;2000;1;0;1;0;0;0;0;0;0;0;0;0;1
2070;Elvis Rexhbeçaj;GER;MF;Augsburg;Bundesliga;25;1997;19;19;1603;17.8;0;0.51;0.17;33.3;0;0;28.1;0;42.5
2071;Gio Reyna;USA;FWMF;Dortmund;Bundesliga;20;2002;14;4;503;5.6;5;2.68;1.07;40;0.27;0.67;16.1;0;54.1
2072;Chadi Riad;ESP;MF;Barcelona;La Liga;19;2003;1;0;2;0;0;0;0;0;0;0;0;0;1
2073;Nico Ribaudo;ESP;FWMF;Espanyol;La Liga;21;2001;14;6;381;4.2;0;1.9;0.24;12.5;0;0;23.4;0;41
2074;Alexsandro Ribeiro;BRA;DF;Lille;Ligue 1;23;1999;8;4;454;5;1;0.4;0.2;50;0.5;1;5.8;0;73.6
2075;Franck Ribéry;FRA;MF;Salernitana;Serie A;39;1983;1;0;37;0.4;0;0;0;0;0;0;0;0;70
2076;Samuele Ricci;ITA;MF;Torino;Serie A;21;2001;15;13;1197;13.3;1;0.83;0.3;36.4;0.09;0.25;22.2;0.08;60.8
2077;Declan Rice;ENG;MF;West Ham;Premier League;24;1999;22;22;1980;22;1;1.14;0.18;16;0.04;0.25;24.9;0.05;69.2
2078;Chris Richards;USA;DF;Crystal Palace;Premier League;22;2000;7;3;348;3.9;0;1.03;0;0;0;0;9.1;0;50.3
2079;Richarlison;BRA;MFFW;Tottenham;Premier League;25;1997;14;5;503;5.6;0;2.5;0.89;35.7;0;0;12.7;0.36;43.9
2080;Marco Richter;GER;MFFW;Hertha BSC;Bundesliga;25;1997;16;9;860;9.6;3;2.92;0.94;32.1;0.11;0.33;22.6;0.21;47.9
2081;Diego Rico;ESP;DF;Real Sociedad;La Liga;29;1993;13;11;1044;11.6;0;0.34;0.09;25;0;0;30.6;0;66.2
2082;Jaïro Riedewald;NED;DFFW;Crystal Palace;Premier League;26;1996;4;0;49;0.5;0;0;0;0;0;0;0;0;84
2083;Manuel Riemann;GER;GK;Bochum;Bundesliga;34;1988;20;20;1800;20;0;0;0;0;0;0;0;0;56.1
2084;Tomás Rincón;VEN;MF;Sampdoria;Serie A;35;1988;18;16;1324;14.7;0;0.61;0.2;33.3;0;0;21.8;0.14;52.1
2085;Rémy Riou;FRA;GK;Lyon;Ligue 1;35;1987;4;3;331;3.7;0;0;0;0;0;0;0;0;35.9
2086;Renaud Ripart;FRA;FWMF;Troyes;Ligue 1;29;1993;19;11;1010;11.2;3;2.77;0.98;35.5;0.1;0.27;16.2;0.09;46.8
2087;Rodrigo Riquelme;ESP;MFFW;Girona;La Liga;22;2000;20;14;1271;14.1;3;2.41;0.92;38.2;0.09;0.23;20.3;0.07;40.1
2088;Matt Ritchie;SCO;FW;Newcastle Utd;Premier League;33;1989;2;0;4;0;0;0;0;0;0;0;0;0;3
2089;Sergi Roberto;ESP;DF;Barcelona;La Liga;31;1992;12;5;544;6;2;1;0.5;50;0.33;0.67;14.3;0;79.2
2090;Lucas Robertone;ARG;MF;Almería;La Liga;25;1997;20;19;1487;16.5;1;1.39;0.3;21.7;0.04;0.2;24.6;0.18;53.6
2091;Andrew Robertson;SCO;DF;Liverpool;Premier League;28;1994;18;15;1322;14.7;0;0.61;0.07;11.1;0;0;14.5;0.34;83.1
2092;Antonee Robinson;USA;DF;Fulham;Premier League;25;1997;20;20;1738;19.3;0;0.05;0;0;0;0;27.8;0;64.2
2093;Joel Roca;ESP;MFFW;Girona;La Liga;17;2005;4;0;67;0.7;0;2.86;0;0;0;0;16.2;0;78.6
2094;Marc Roca;ESP;MF;Leeds United;Premier League;26;1996;20;19;1461;16.2;1;0.93;0.37;40;0.07;0.17;21.8;0.06;64
2095;Enzo Roco;CHI;DF;Elche;La Liga;30;1992;15;14;1155;12.8;0;0.47;0.08;16.7;0;0;11.5;0;48.4
2096;Marek Rodák;SVK;GK;Fulham;Premier League;26;1996;2;2;180;2;0;0;0;0;0;0;0;0;32.5
2097;Sebastian Rode;GER;MF;Eint Frankfurt;Bundesliga;32;1990;16;9;720;8;3;0.5;0.38;75;0.75;1;17.2;0.13;62.9
2098;Joe Rodon;WAL;DF;Rennes;Ligue 1;25;1997;13;13;1168;13;1;0.54;0.15;28.6;0.14;0.5;6.9;0;74.2
2099;Rodri;ESP;MF;Manchester City;Premier League;26;1996;20;20;1733;19.3;1;1.61;0.36;22.6;0.03;0.14;18.2;0.21;106.4
2100;Rodrigo;ESP;FWMF;Leeds United;Premier League;31;1991;18;17;1296;14.4;10;3.61;1.32;36.5;0.17;0.47;16.4;0.07;38.1
2101;Rodrigo;ESP;FWMF;Betis;La Liga;22;2000;16;12;902;10;2;0.8;0.3;37.5;0.25;0.67;14.6;0.1;53.6
2102;Ángel Rodríguez;ESP;FWMF;Mallorca;La Liga;35;1987;8;1;208;2.3;0;3.04;0.87;28.6;0;0;11.6;0;29.1
2103;Óscar Rodríguez Arnaiz;ESP;MF;Celta Vigo;La Liga;24;1998;19;14;1198;13.3;2;2.26;1.05;46.7;0.07;0.14;24.2;0;65.3
2104;Dani Rodríguez;ESP;MF;Mallorca;La Liga;34;1988;20;15;1174;13;1;0.85;0.38;45.5;0.09;0.2;19.4;0.15;41.8
2105;Guido Rodríguez;ARG;MF;Betis;La Liga;28;1994;18;17;1478;16.4;0;0.55;0.24;44.4;0;0;26.3;0;63.2
2106;Pablo Rodríguez;ESP;FWMF;Lecce;Serie A;21;2001;4;0;54;0.6;0;0;0;0;0;0;0;0;53.3
2107;Ricardo Rodríguez;SUI;DF;Torino;Serie A;30;1992;19;14;1373;15.3;0;0.39;0.13;33.3;0;0;25.2;0;67.8
2108;Rodrygo;BRA;FW;Real Madrid;La Liga;22;2001;18;12;1189;13.2;4;3.79;0.98;26;0.06;0.23;17.1;0.38;49.5
2109;Mads Roerslev;DEN;DF;Brentford;Premier League;23;1999;14;10;933;10.4;0;0.29;0;0;0;0;14.8;0;33.7
2110;Agustín Rogel;URU;DF;Hertha BSC;Bundesliga;25;1997;10;9;810;9;0;0.33;0;0;0;0;7.7;0;47.9
2111;Rogério;BRA;DF;Sassuolo;Serie A;25;1998;20;19;1648;18.3;0;0.33;0.05;16.7;0;0;22.4;0.11;71.1
2112;Alessio Romagnoli;ITA;DF;Lazio;Serie A;28;1995;21;20;1772;19.7;1;0.36;0.1;28.6;0.14;0.5;15.4;0;61.3
2113;Cristian Romero;ARG;DF;Tottenham;Premier League;24;1998;14;13;1194;13.3;0;0.45;0.15;33.3;0;0;14.7;0;70.2
2114;Iván Romero;ESP;MF;Sevilla;La Liga;21;2001;1;0;11;0.1;0;0;0;0;0;0;0;0;50
2115;Luka Romero;ARG;FW;Lazio;Serie A;18;2004;5;1;138;1.5;1;2.67;0.67;25;0.25;1;15.7;0;68
2116;Oriol Romeu;ESP;MF;Southampton;Premier League;31;1991;1;1;74;0.8;0;0;0;0;0;0;0;0;46.3
2117;Oriol Romeu;ESP;MF;Girona;La Liga;31;1991;17;17;1530;17;1;0.94;0.18;18.8;0.06;0.33;17.8;0;60.1
2118;Cristiano Ronaldo;POR;FW;Manchester Utd;Premier League;38;1985;10;4;525;5.8;1;4.31;1.03;24;0.04;0.17;17.7;0;37.9
2119;Connor Ronan;IRL;MF;Wolves;Premier League;24;1998;1;0;1;0;0;0;0;0;0;0;0;0;4
2120;Salomón Rondón;VEN;FW;Everton;Premier League;33;1989;7;1;109;1.2;0;3.33;0.83;25;0;0;19.3;0;30
2121;Valentin Rongier;FRA;MF;Marseille;Ligue 1;28;1994;22;20;1772;19.7;1;0.61;0.1;16.7;0.08;0.5;20.6;0;75.3
2122;Marten de Roon;NED;MF;Atalanta;Serie A;31;1991;20;19;1614;17.9;0;0.45;0.06;12.5;0;0;21.5;0.06;61.2
2123;Pablo Rosario;NED;MFDF;Nice;Ligue 1;26;1997;17;9;984;10.9;0;0.46;0;0;0;0;19.4;0;56.5
2124;Tom Rothe;GER;DF;Dortmund;Bundesliga;18;2004;1;0;14;0.2;0;0;0;0;0;0;0;0;55
2125;Joe Rothwell;ENG;MFDF;Bournemouth;Premier League;28;1995;7;1;157;1.7;0;0.59;0.59;100;0;0;29.6;0;50.6
2126;Anthony Rouault;FRA;DF;Toulouse;Ligue 1;21;2001;22;22;1972;21.9;2;0.55;0.27;50;0.17;0.33;8.8;0.05;65.5
2127;Jérôme Roussillon;FRA;MFDF;Wolfsburg;Bundesliga;30;1993;4;0;22;0.2;0;0;0;0;0;0;0;0;55
2128;Jérôme Roussillon;FRA;DF;Union Berlin;Bundesliga;30;1993;4;2;161;1.8;0;1.11;0.56;50;0;0;19.3;0;65
2129;Nicolò Rovella;ITA;MF;Monza;Serie A;21;2001;12;10;879;9.8;0;0.92;0.1;11.1;0;0;27;0;86.4
2130;Nicolò Rovella;ITA;MF;Juventus;Serie A;21;2001;3;0;27;0.3;0;6.67;0;0;0;0;27;0;96.7
2131;Amir Rrahmani;KVX;DF;Napoli;Serie A;28;1994;14;13;1206;13.4;1;0.9;0.07;8.3;0.08;1;13.8;0;85.7
2132;Ruan;BRA;DF;Sassuolo;Serie A;23;1999;8;6;506;5.6;0;0.36;0;0;0;0;12.5;0;57.3
2133;Rubén;ESP;DFMF;Espanyol;La Liga;22;2001;9;3;352;3.9;0;1.54;0;0;0;0;19.4;0.26;48.2
2134;Antonio Rüdiger;GER;DF;Real Madrid;La Liga;29;1993;18;13;1226;13.6;1;1.03;0.22;21.4;0.07;0.33;13.3;0;66.8
2135;Sebastian Rudy;GER;MF;Hoffenheim;Bundesliga;32;1990;13;3;419;4.7;0;0.21;0.21;100;0;0;26.4;0.21;61.3
2136;Daniele Rugani;ITA;DF;Juventus;Serie A;28;1994;3;3;258;2.9;0;0.69;0.34;50;0;0;9.3;0;64.1
2137;Matteo Ruggeri;ITA;DFMF;Atalanta;Serie A;20;2002;10;4;462;5.1;0;0.98;0;0;0;0;20;0;73.3
2138;Mário Rui;POR;DF;Napoli;Serie A;31;1991;17;16;1359;15.1;0;0.53;0.13;25;0;0;23;0.4;95.7
2139;Aitor Ruibal;ESP;DFFW;Betis;La Liga;26;1996;17;8;827;9.2;0;0.98;0.22;22.2;0;0;19.9;0;62
2140;Kays Ruiz;MAR;MF;Auxerre;Ligue 1;20;2002;1;1;62;0.7;0;0;0;0;0;0;0;0;58.6
2141;Fabián Ruiz Peña;ESP;MF;Paris S-G;Ligue 1;26;1996;14;11;941;10.5;1;1.24;0.19;15.4;0.08;0.5;19;0.1;89.6
2142;Víctor Ruiz;ESP;DF;Betis;La Liga;34;1989;6;3;362;4;0;0.25;0;0;0;0;8.6;0;55.3
2143;Gerónimo Rulli;ARG;GK;Villarreal;La Liga;30;1992;14;14;1260;14;0;0;0;0;0;0;0;0;41.4
2144;Franco Russo;ARG;DF;Mallorca;La Liga;28;1994;3;2;145;1.6;0;0;0;0;0;0;0;0;48.8
2145;Georginio Rutter;FRA;FW;Leeds United;Premier League;20;2002;2;0;52;0.6;0;0;0;0;0;0;0;0;36.7
2146;Georginio Rutter;FRA;FW;Hoffenheim;Bundesliga;20;2002;15;11;1009;11.2;2;2.41;1.25;51.9;0.07;0.14;15.7;0.18;30.3
2147;Julian Ryerson;NOR;DF;Union Berlin;Bundesliga;25;1997;13;12;1037;11.5;0;1.39;0.43;31.3;0;0;24;0;54.6
2148;Julian Ryerson;NOR;DF;Dortmund;Bundesliga;25;1997;4;4;358;4;1;1.25;0.5;40;0.2;0.5;26.1;0;77.5
2149;Frederik Rønnow;DEN;GK;Union Berlin;Bundesliga;30;1992;16;16;1440;16;0;0;0;0;0;0;0;0;43.1
2150;José Sá;POR;GK;Wolves;Premier League;30;1993;22;22;1980;22;0;0;0;0;0;0;0;0;36
2151;Youssouf Sabaly;SEN;DF;Betis;La Liga;29;1993;14;11;996;11.1;0;0.45;0.09;20;0;0;22.6;0;66.6
2152;Halid Šabanovi?;BIH;DFFW;Angers;Ligue 1;23;1999;5;4;267;3;0;0;0;0;0;0;0;0;57
2153;Abdelhamid Sabiri;MAR;MFFW;Sampdoria;Serie A;26;1996;13;11;914;10.2;1;2.45;0.78;32;0.04;0.13;25.4;0;52.7
2154;Marcel Sabitzer;AUT;MF;Manchester Utd;Premier League;28;1994;2;1;91;1;0;3;1;33.3;0;0;22.1;0;65
2155;Marcel Sabitzer;AUT;MF;Bayern Munich;Bundesliga;28;1994;15;7;628;7;1;2.14;0.71;33.3;0.07;0.2;21.7;0.14;78.3
2156;Falaye Sacko;MLI;DF;Montpellier;Ligue 1;27;1995;19;14;1256;14;0;0.21;0;0;0;0;12.8;0.14;53.7
2157;Umar Sadiq;NGA;FW;Almería;La Liga;26;1997;3;3;240;2.7;2;2.59;1.11;42.9;0.29;0.67;14.5;0;27.4
2158;Umar Sadiq;NGA;FW;Real Sociedad;La Liga;26;1997;2;1;82;0.9;1;1.11;1.11;100;1;1;2.9;0;28.9
2159;Alexis Saelemaekers;BEL;FWDF;Milan;Serie A;23;1999;14;8;687;7.6;0;1.45;0.39;27.3;0;0;21.2;0.13;50.1
2160;Wesley Saïd;FRA;FWMF;Lens;Ligue 1;27;1995;17;6;597;6.6;5;3.64;1.36;37.5;0.21;0.56;13.7;0;36.4
2161;Allan Saint-Maximin;FRA;FW;Newcastle Utd;Premier League;25;1997;14;6;635;7.1;1;2.39;0.85;35.3;0.06;0.17;17.4;0.42;48
2162;Théo Sainte-Luce;FRA;DF;Montpellier;Ligue 1;24;1998;5;5;355;3.9;1;0.77;0.51;66.7;0.33;0.5;20.5;0.26;57.9
2163;Samuel Sáiz;ESP;MF;Girona;La Liga;32;1991;8;1;240;2.7;2;0.74;0.37;50;0;0;26.2;0;71.1
2164;Bukayo Saka;ENG;FW;Arsenal;Premier League;21;2001;21;21;1801;20;7;2.45;0.75;30.6;0.12;0.4;15.5;0.4;51.7
2165;Hamza Sakhi;MAR;MF;Auxerre;Ligue 1;26;1996;22;18;1567;17.4;1;1.61;0.46;28.6;0.04;0.13;23.7;0.11;59.9
2166;Mamadou Sakho;FRA;DF;Montpellier;Ligue 1;32;1990;10;5;516;5.7;1;0.53;0.35;66.7;0.33;0.5;6.1;0;67.5
2167;Jacopo Sala;ITA;MF;Spezia;Serie A;31;1991;6;1;112;1.2;0;0;0;0;0;0;0;0;47.5
2168;Ibrahim Salah;BEL;MF;Rennes;Ligue 1;21;2001;1;0;7;0.1;0;0;0;0;0;0;0;0;20
2169;Mohamed Salah;EGY;FW;Liverpool;Premier League;30;1992;20;20;1776;19.7;7;3.15;1.22;38.7;0.11;0.29;14.7;0.2;39.5
2170;Amine Salama;FRA;FWMF;Angers;Ligue 1;22;2000;20;10;998;11.1;3;1.8;0.72;40;0.15;0.38;15.3;0.09;35.2
2171;William Saliba;FRA;DF;Arsenal;Premier League;21;2001;21;21;1875;20.8;2;0.24;0.14;60;0.4;0.67;10.4;0.05;72.5
2172;Dikeni Salifou;TOG;MF;Werder Bremen;Bundesliga;19;2003;1;0;1;0;0;0;0;0;0;0;0;0;0
