Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;Assists;Touches
122;Maximilian Arnold;GER;MF;Wolfsburg;Bundesliga;28;1994;20;20;1728;19.2;4;1.04;0.36;35;0.1;0.29;32.2;0.1;60.7
123;Kepa Arrizabalaga;ESP;GK;Chelsea;Premier League;28;1994;14;14;1215;13.5;0;0;0;0;0;0;0;0;40.4
124;Roberto Arroyo;ESP;MF;Valladolid;La Liga;19;2003;1;0;15;0.2;0;0;0;0;0;0;0;0;35
125;Tolgay Arslan;GER;MF;Udinese;Serie A;32;1990;20;10;815;9.1;1;2.09;0.55;26.3;0.05;0.2;20.6;0;54.8
126;Arthur;BRA;FW;Fiorentina;Serie A;24;1998;16;6;663;7.4;3;3.24;1.22;37.5;0.08;0.22;12.2;0.14;32.4
127;Santiago Arzamendia;PAR;MFDF;Cádiz;La Liga;24;1998;8;3;299;3.3;0;0.91;0.3;33.3;0;0;17.5;0;50
128;Takuma Asano;JPN;FWMF;Bochum;Bundesliga;28;1994;11;8;637;7.1;1;2.68;0.85;31.6;0.05;0.17;19.1;0;30.7
129;Santiago Ascacíbar;ARG;MF;Cremonese;Serie A;25;1997;13;7;727;8.1;0;1.73;0.37;21.4;0;0;27.2;0;68.4
130;Sergio Asenjo;ESP;GK;Valladolid;La Liga;33;1989;5;5;450;5;0;0;0;0;0;0;0;0;38.6
131;Marco Asensio;ESP;FWMF;Real Madrid;La Liga;27;1996;15;5;500;5.6;2;3.75;1.07;28.6;0.1;0.33;22.3;0.54;58.9
132;Kristoffer Askildsen;NOR;MF;Lecce;Serie A;22;2001;16;6;592;6.6;0;1.36;0.45;33.3;0;0;24.4;0;44.2
133;Fisnik Asllani;KVX;FWMF;Hoffenheim;Bundesliga;20;2002;4;0;60;0.7;0;2.86;0;0;0;0;8.4;0;51.4
134;Kristjan Asllani;ALB;MF;Inter;Serie A;20;2002;12;2;295;3.3;0;1.82;0;0;0;0;29;0;77
135;Iago Aspas;ESP;FW;Celta Vigo;La Liga;35;1987;20;18;1662;18.5;9;2.27;1.03;45.2;0.19;0.42;19.1;0.16;45.4
136;Lorenz Assignon;TOG;DF;Rennes;Ligue 1;22;2000;6;2;194;2.2;0;1.36;0.45;33.3;0;0;14.7;0.45;63.6
137;Youcef Atal;ALG;DFMF;Nice;Ligue 1;26;1996;13;7;637;7.1;1;1.27;0.7;55.6;0.11;0.2;16.3;0;73
138;Pierre-Emerick Aubameyang;GAB;FW;Chelsea;Premier League;33;1989;11;4;433;4.8;1;2.08;1.04;50;0.1;0.2;15.3;0;25.8
139;Pierre-Emerick Aubameyang;GAB;FW;Barcelona;La Liga;33;1989;1;0;9;0.1;0;10;0;0;0;0;12.4;0;40
140;Emil Audero;ITA;GK;Sampdoria;Serie A;26;1997;21;21;1890;21;0;0;0;0;0;0;0;0;39
141;Tommaso Augello;ITA;DF;Sampdoria;Serie A;28;1994;20;18;1626;18.1;1;0.33;0.11;33.3;0.17;0.5;17.8;0.11;58.3
142;Ludwig Augustinsson;SWE;DF;Aston Villa;Premier League;28;1994;3;1;77;0.9;0;2.22;1.11;50;0;0;12.7;0;56.7
143;Ludwig Augustinsson;SWE;DF;Mallorca;La Liga;28;1994;1;1;71;0.8;0;0;0;0;0;0;0;0;42.5
144;Serge Aurier;CIV;DF;Nott'ham Forest;Premier League;30;1992;14;12;1082;12;1;0.5;0.17;33.3;0.17;0.5;13.6;0;64.2
145;Mathias Autret;FRA;MFFW;Auxerre;Ligue 1;31;1991;19;15;1191;13.2;2;1.52;0.83;55;0.05;0.09;26;0.15;50
146;Ezequiel Ávila;ARG;FWMF;Osasuna;La Liga;29;1994;18;16;1161;12.9;7;3.1;1.4;45;0.13;0.28;22.2;0.16;38.4
147;Cédric Avinel;GLP;DF;Ajaccio;Ligue 1;36;1986;14;12;1102;12.2;1;0.16;0.08;50;0.5;1;1.2;0;45.2
148;Taiwo Awoniyi;NGA;FW;Nott'ham Forest;Premier League;25;1997;16;9;730;8.1;4;2.35;0.99;42.1;0.21;0.5;11.9;0;29.4
149;Mehmet-Can Aydin;GER;DF;Schalke 04;Bundesliga;21;2002;10;1;295;3.3;0;1.52;0;0;0;0;23.3;0;59.1
